Vehicle_ID,Model_Year,Brand,Model,Electric_Vehicle_Type,CAFV_Eligibility,Electric_Range,Base_MSRP,Vehicle_Age,Price_Category,Range_Category,Vehicle_Type
100051,2018,Ather Energy,S1 Pro,BEV,Eligible,479,2432875,8,Midrange,Long,2 Wheeler
100052,2018,Mg Motor India,Zs Ev,BEV,Eligible,421,1018834,8,Budget,Long,4 Wheeler
100053,2018,Ather Energy,Kona Ev,BEV,Not Eligible,421,1979600,8,Midrange,Long,4 Wheeler
100054,2018,Mahindra Electric,S1 Pro,BEV,Eligible,343,2885588,8,Midrange,Medium,2 Wheeler
100055,2018,Byd India,S1 Pro,BEV,Eligible,451,1849597,8,Midrange,Long,2 Wheeler
100056,2018,Tvs Motor,450X,PHEV,Eligible,185,3867197,8,Premium,Short,2 Wheeler
100057,2018,Ola Electric,Zs Ev,BEV,Eligible,308,4077945,8,Premium,Medium,4 Wheeler
100058,2018,Ola Electric,450X,BEV,Eligible,201,1703328,8,Midrange,Medium,2 Wheeler
100059,2018,Tvs Motor,450X,BEV,Eligible,351,1306716,8,Budget,Medium,2 Wheeler
100060,2018,Hyundai Ev,450X,BEV,Eligible,155,3509305,8,Premium,Short,2 Wheeler
100061,2018,Tata Motors,450X,BEV,Eligible,148,2648014,8,Midrange,Short,2 Wheeler
100062,2018,Ola Electric,450X,BEV,Not Eligible,297,3773817,8,Premium,Medium,2 Wheeler
100063,2018,Tata Motors,Kona Ev,BEV,Not Eligible,102,1790617,8,Midrange,Short,4 Wheeler
100064,2018,Mg Motor India,S1 Pro,BEV,Eligible,329,4418098,8,Premium,Medium,2 Wheeler
100065,2018,Ather Energy,S1 Pro,BEV,Eligible,415,4412054,8,Premium,Long,2 Wheeler
100066,2018,Ola Electric,Iqube,BEV,Eligible,242,3949851,8,Premium,Medium,2 Wheeler
100067,2018,Mahindra Electric,450X,BEV,Not Eligible,144,1986880,8,Midrange,Short,2 Wheeler
100068,2018,Ather Energy,450X,BEV,Eligible,381,3664673,8,Premium,Medium,2 Wheeler
100069,2018,Byd India,Nexon Ev,BEV,Eligible,172,1538873,8,Midrange,Short,4 Wheeler
100070,2018,Tata Motors,Atto 3,BEV,Not Eligible,193,1057164,8,Budget,Short,4 Wheeler
100071,2018,Tata Motors,450X,PHEV,Eligible,243,3828009,8,Premium,Medium,2 Wheeler
100072,2018,Tata Motors,Xuv400,BEV,Not Eligible,175,1300573,8,Budget,Short,4 Wheeler
100073,2018,Byd India,450X,BEV,Not Eligible,434,3411720,8,Premium,Long,2 Wheeler
100074,2018,Ola Electric,Iqube,BEV,Eligible,476,966234,8,Budget,Long,2 Wheeler
100075,2018,Ather Energy,Nexon Ev,BEV,Eligible,344,4104891,8,Premium,Medium,4 Wheeler
100076,2018,Mahindra Electric,Zs Ev,BEV,Eligible,452,1939458,8,Midrange,Long,4 Wheeler
100077,2018,Ather Energy,S1 Pro,PHEV,Eligible,223,3286488,8,Premium,Medium,2 Wheeler
100078,2018,Mg Motor India,Atto 3,PHEV,Eligible,201,1433636,8,Budget,Medium,4 Wheeler
100079,2018,Mg Motor India,Atto 3,BEV,Not Eligible,153,1113945,8,Budget,Short,4 Wheeler
100080,2018,Byd India,Kona Ev,BEV,Not Eligible,249,1618216,8,Midrange,Medium,4 Wheeler
100081,2018,Ather Energy,450X,BEV,Not Eligible,418,1976871,8,Midrange,Long,2 Wheeler
100082,2018,Ola Electric,Nexon Ev,PHEV,Eligible,296,1294540,8,Budget,Medium,4 Wheeler
100083,2018,Byd India,Xuv400,BEV,Eligible,261,926790,8,Budget,Medium,4 Wheeler
100084,2018,Byd India,Kona Ev,BEV,Eligible,220,1690141,8,Midrange,Medium,4 Wheeler
100085,2018,Byd India,Nexon Ev,BEV,Not Eligible,466,2450284,8,Midrange,Long,4 Wheeler
100086,2018,Tata Motors,Nexon Ev,PHEV,Not Eligible,501,4288532,8,Premium,Long,4 Wheeler
100087,2018,Tvs Motor,450X,BEV,Not Eligible,228,2755567,8,Midrange,Medium,2 Wheeler
100088,2018,Ather Energy,S1 Pro,BEV,Eligible,99,1927512,8,Midrange,Short,2 Wheeler
100089,2018,Hyundai Ev,Atto 3,BEV,Eligible,452,3631573,8,Premium,Long,4 Wheeler
100090,2018,Mahindra Electric,S1 Pro,PHEV,Eligible,351,3542887,8,Premium,Medium,2 Wheeler
100091,2018,Tvs Motor,Zs Ev,BEV,Eligible,169,3361319,8,Premium,Short,4 Wheeler
100092,2018,Ola Electric,450X,PHEV,Eligible,271,1397562,8,Budget,Medium,2 Wheeler
100093,2018,Tata Motors,450X,BEV,Eligible,299,2832015,8,Midrange,Medium,2 Wheeler
100094,2018,Ather Energy,Kona Ev,PHEV,Not Eligible,335,1363556,8,Budget,Medium,4 Wheeler
100095,2018,Tvs Motor,Kona Ev,PHEV,Eligible,444,4214692,8,Premium,Long,4 Wheeler
100096,2018,Mg Motor India,Iqube,PHEV,Eligible,346,2535156,8,Midrange,Medium,2 Wheeler
100097,2018,Mahindra Electric,Xuv400,BEV,Eligible,496,3859464,8,Premium,Long,4 Wheeler
100098,2018,Tvs Motor,Atto 3,PHEV,Not Eligible,276,3881726,8,Premium,Medium,4 Wheeler
100099,2018,Byd India,450X,BEV,Eligible,281,1063273,8,Budget,Medium,2 Wheeler
100100,2018,Tata Motors,Kona Ev,BEV,Eligible,252,3931756,8,Premium,Medium,4 Wheeler
100101,2018,Tvs Motor,Iqube,BEV,Eligible,174,2086887,8,Midrange,Short,2 Wheeler
100102,2018,Hyundai Ev,Xuv400,BEV,Eligible,347,1540053,8,Midrange,Medium,4 Wheeler
100103,2018,Mahindra Electric,Nexon Ev,BEV,Eligible,334,2885838,8,Midrange,Medium,4 Wheeler
100104,2018,Hyundai Ev,Zs Ev,BEV,Eligible,182,3602757,8,Premium,Short,4 Wheeler
100105,2018,Mg Motor India,Zs Ev,BEV,Eligible,414,1680722,8,Midrange,Long,4 Wheeler
100106,2018,Hyundai Ev,Nexon Ev,BEV,Not Eligible,109,970390,8,Budget,Short,4 Wheeler
100107,2018,Ather Energy,S1 Pro,BEV,Eligible,480,2459312,8,Midrange,Long,2 Wheeler
100108,2018,Mg Motor India,Kona Ev,BEV,Eligible,284,1528861,8,Midrange,Medium,4 Wheeler
100109,2018,Mahindra Electric,Atto 3,BEV,Eligible,262,4257519,8,Premium,Medium,4 Wheeler
100110,2018,Tvs Motor,S1 Pro,BEV,Eligible,274,2163455,8,Midrange,Medium,2 Wheeler
100111,2018,Ather Energy,Zs Ev,BEV,Eligible,356,2429297,8,Midrange,Medium,4 Wheeler
100112,2018,Ather Energy,Kona Ev,BEV,Not Eligible,312,3145131,8,Premium,Medium,4 Wheeler
100113,2018,Hyundai Ev,Zs Ev,BEV,Eligible,152,3020473,8,Premium,Short,4 Wheeler
100114,2018,Byd India,Iqube,PHEV,Eligible,398,2329551,8,Midrange,Medium,2 Wheeler
100115,2018,Tata Motors,Iqube,BEV,Not Eligible,332,2467438,8,Midrange,Medium,2 Wheeler
100116,2018,Mg Motor India,S1 Pro,BEV,Eligible,295,4290849,8,Premium,Medium,2 Wheeler
100117,2018,Tvs Motor,Xuv400,BEV,Eligible,190,3866422,8,Premium,Short,4 Wheeler
100118,2018,Ather Energy,Zs Ev,BEV,Eligible,306,3818258,8,Premium,Medium,4 Wheeler
100119,2018,Mg Motor India,Atto 3,BEV,Eligible,310,2348021,8,Midrange,Medium,4 Wheeler
100120,2018,Tata Motors,450X,BEV,Eligible,147,3529001,8,Premium,Short,2 Wheeler
100121,2018,Byd India,S1 Pro,BEV,Eligible,113,1437198,8,Budget,Short,2 Wheeler
100122,2018,Mahindra Electric,Zs Ev,BEV,Eligible,85,1902163,8,Midrange,Short,4 Wheeler
100123,2018,Tvs Motor,Xuv400,PHEV,Eligible,308,1321240,8,Budget,Medium,4 Wheeler
100124,2018,Hyundai Ev,Kona Ev,BEV,Eligible,83,1894653,8,Midrange,Short,4 Wheeler
100125,2018,Byd India,Iqube,PHEV,Eligible,326,1318034,8,Budget,Medium,2 Wheeler
100126,2018,Tvs Motor,Atto 3,PHEV,Eligible,299,2632682,8,Midrange,Medium,4 Wheeler
100127,2018,Tata Motors,Kona Ev,BEV,Eligible,514,3257821,8,Premium,Long,4 Wheeler
100128,2018,Tvs Motor,Zs Ev,BEV,Eligible,379,3134693,8,Premium,Medium,4 Wheeler
100129,2018,Tata Motors,S1 Pro,BEV,Eligible,126,1754016,8,Midrange,Short,2 Wheeler
100130,2018,Ather Energy,Kona Ev,BEV,Eligible,435,2316012,8,Midrange,Long,4 Wheeler
100131,2018,Mg Motor India,Iqube,BEV,Eligible,486,1303081,8,Budget,Long,2 Wheeler
100132,2018,Ola Electric,Nexon Ev,BEV,Eligible,408,2885296,8,Midrange,Long,4 Wheeler
100133,2018,Byd India,Xuv400,BEV,Eligible,384,1507812,8,Midrange,Medium,4 Wheeler
100134,2018,Hyundai Ev,450X,BEV,Eligible,216,3343851,8,Premium,Medium,2 Wheeler
100135,2018,Ola Electric,Iqube,BEV,Eligible,346,2383624,8,Midrange,Medium,2 Wheeler
100136,2018,Mahindra Electric,450X,BEV,Not Eligible,418,1579290,8,Midrange,Long,2 Wheeler
100137,2018,Ather Energy,Zs Ev,BEV,Eligible,375,4236007,8,Premium,Medium,4 Wheeler
100138,2018,Ather Energy,Kona Ev,BEV,Eligible,142,4195374,8,Premium,Short,4 Wheeler
100139,2018,Byd India,Atto 3,BEV,Eligible,388,1853959,8,Midrange,Medium,4 Wheeler
100140,2018,Hyundai Ev,Kona Ev,BEV,Eligible,258,2438601,8,Midrange,Medium,4 Wheeler
100141,2018,Tata Motors,S1 Pro,BEV,Eligible,490,3095875,8,Premium,Long,2 Wheeler
100142,2018,Ather Energy,450X,BEV,Eligible,368,2314397,8,Midrange,Medium,2 Wheeler
100143,2018,Ather Energy,Xuv400,BEV,Eligible,197,2396972,8,Midrange,Short,4 Wheeler
100144,2018,Tvs Motor,S1 Pro,BEV,Eligible,236,4327975,8,Premium,Medium,2 Wheeler
100145,2018,Ola Electric,450X,BEV,Eligible,174,4277778,8,Premium,Short,2 Wheeler
100146,2018,Mahindra Electric,Xuv400,BEV,Eligible,90,1288349,8,Budget,Short,4 Wheeler
100147,2018,Tvs Motor,Atto 3,BEV,Not Eligible,381,3874058,8,Premium,Medium,4 Wheeler
100148,2018,Mg Motor India,Nexon Ev,BEV,Not Eligible,183,1130203,8,Budget,Short,4 Wheeler
100149,2018,Tvs Motor,S1 Pro,BEV,Eligible,372,1790695,8,Midrange,Medium,2 Wheeler
100150,2018,Byd India,Zs Ev,BEV,Not Eligible,130,1398716,8,Budget,Short,4 Wheeler
100151,2018,Byd India,Nexon Ev,BEV,Eligible,484,2967801,8,Midrange,Long,4 Wheeler
100152,2018,Tata Motors,Atto 3,BEV,Eligible,450,2854727,8,Midrange,Long,4 Wheeler
100153,2018,Tata Motors,Zs Ev,BEV,Eligible,196,1784377,8,Midrange,Short,4 Wheeler
100154,2018,Tata Motors,Zs Ev,PHEV,Eligible,465,2074737,8,Midrange,Long,4 Wheeler
100155,2018,Tvs Motor,Xuv400,BEV,Eligible,330,1896530,8,Midrange,Medium,4 Wheeler
100156,2018,Hyundai Ev,450X,PHEV,Eligible,256,1854652,8,Midrange,Medium,2 Wheeler
100157,2018,Ola Electric,Zs Ev,BEV,Eligible,416,1470451,8,Budget,Long,4 Wheeler
100158,2018,Hyundai Ev,S1 Pro,BEV,Eligible,439,1938896,8,Midrange,Long,2 Wheeler
100159,2018,Hyundai Ev,Atto 3,BEV,Eligible,519,3448434,8,Premium,Long,4 Wheeler
100160,2018,Tata Motors,450X,BEV,Eligible,223,2566471,8,Midrange,Medium,2 Wheeler
100161,2018,Mahindra Electric,Atto 3,BEV,Eligible,192,2499601,8,Midrange,Short,4 Wheeler
100162,2018,Tata Motors,Iqube,PHEV,Eligible,438,2259490,8,Midrange,Long,2 Wheeler
100163,2018,Hyundai Ev,Zs Ev,BEV,Not Eligible,166,2685910,8,Midrange,Short,4 Wheeler
100164,2018,Tvs Motor,Nexon Ev,BEV,Eligible,402,3502967,8,Premium,Long,4 Wheeler
100165,2018,Tvs Motor,Kona Ev,BEV,Eligible,308,4380130,8,Premium,Medium,4 Wheeler
100166,2018,Mahindra Electric,Iqube,PHEV,Not Eligible,367,1878039,8,Midrange,Medium,2 Wheeler
100167,2018,Ola Electric,450X,BEV,Not Eligible,477,1668734,8,Midrange,Long,2 Wheeler
100168,2018,Byd India,Nexon Ev,BEV,Not Eligible,226,3934735,8,Premium,Medium,4 Wheeler
100169,2018,Ola Electric,Zs Ev,PHEV,Eligible,382,4068964,8,Premium,Medium,4 Wheeler
100170,2018,Mahindra Electric,Atto 3,BEV,Eligible,99,1438884,8,Budget,Short,4 Wheeler
100171,2018,Ather Energy,S1 Pro,BEV,Eligible,421,2883851,8,Midrange,Long,2 Wheeler
100172,2018,Hyundai Ev,Atto 3,BEV,Eligible,288,2632465,8,Midrange,Medium,4 Wheeler
100173,2018,Tvs Motor,Zs Ev,BEV,Eligible,438,1972328,8,Midrange,Long,4 Wheeler
100174,2018,Ola Electric,Zs Ev,BEV,Eligible,188,4302337,8,Premium,Short,4 Wheeler
100175,2018,Mg Motor India,Iqube,BEV,Eligible,435,1088456,8,Budget,Long,2 Wheeler
100176,2018,Tata Motors,Kona Ev,BEV,Eligible,166,1473044,8,Budget,Short,4 Wheeler
100177,2018,Tata Motors,Atto 3,PHEV,Eligible,247,4038145,8,Premium,Medium,4 Wheeler
100178,2018,Byd India,Zs Ev,PHEV,Eligible,489,1263476,8,Budget,Long,4 Wheeler
100179,2018,Tvs Motor,Zs Ev,BEV,Eligible,442,4237920,8,Premium,Long,4 Wheeler
100180,2018,Mg Motor India,450X,BEV,Not Eligible,375,3777450,8,Premium,Medium,2 Wheeler
100181,2018,Byd India,Iqube,BEV,Not Eligible,177,1608662,8,Midrange,Short,2 Wheeler
100182,2018,Ather Energy,Iqube,BEV,Eligible,115,4251278,8,Premium,Short,2 Wheeler
100183,2018,Mahindra Electric,Nexon Ev,BEV,Eligible,444,2511754,8,Midrange,Long,4 Wheeler
100184,2018,Ather Energy,Nexon Ev,BEV,Eligible,96,3838496,8,Premium,Short,4 Wheeler
100185,2018,Tata Motors,Atto 3,BEV,Not Eligible,308,2558987,8,Midrange,Medium,4 Wheeler
100186,2018,Mg Motor India,S1 Pro,BEV,Not Eligible,123,4291418,8,Premium,Short,2 Wheeler
100187,2018,Mg Motor India,Nexon Ev,BEV,Not Eligible,382,4197291,8,Premium,Medium,4 Wheeler
100188,2018,Tvs Motor,Atto 3,BEV,Eligible,294,2920836,8,Midrange,Medium,4 Wheeler
100189,2018,Mg Motor India,Nexon Ev,BEV,Not Eligible,138,2460473,8,Midrange,Short,4 Wheeler
100190,2018,Tvs Motor,Atto 3,PHEV,Not Eligible,361,3315572,8,Premium,Medium,4 Wheeler
100191,2018,Byd India,450X,BEV,Not Eligible,450,3339855,8,Premium,Long,2 Wheeler
100192,2018,Mg Motor India,Atto 3,PHEV,Eligible,502,1181570,8,Budget,Long,4 Wheeler
100193,2018,Hyundai Ev,Atto 3,BEV,Eligible,187,2831451,8,Midrange,Short,4 Wheeler
100194,2018,Mahindra Electric,Iqube,BEV,Not Eligible,443,1596358,8,Midrange,Long,2 Wheeler
100195,2018,Ather Energy,Kona Ev,BEV,Eligible,289,3635264,8,Premium,Medium,4 Wheeler
100196,2018,Mg Motor India,Atto 3,BEV,Eligible,113,4171069,8,Premium,Short,4 Wheeler
100197,2018,Tvs Motor,Iqube,BEV,Eligible,118,3890893,8,Premium,Short,2 Wheeler
100198,2018,Ather Energy,Kona Ev,BEV,Eligible,264,3816623,8,Premium,Medium,4 Wheeler
100199,2018,Mg Motor India,Kona Ev,BEV,Eligible,438,1150195,8,Budget,Long,4 Wheeler
100200,2018,Mahindra Electric,450X,BEV,Eligible,237,2114449,8,Midrange,Medium,2 Wheeler
100201,2018,Tata Motors,Iqube,BEV,Eligible,152,1297710,8,Budget,Short,2 Wheeler
100202,2018,Ola Electric,Xuv400,PHEV,Eligible,140,1731460,8,Midrange,Short,4 Wheeler
100203,2018,Tvs Motor,Xuv400,PHEV,Not Eligible,305,1079352,8,Budget,Medium,4 Wheeler
100204,2018,Tvs Motor,S1 Pro,BEV,Eligible,389,2252564,8,Midrange,Medium,2 Wheeler
100205,2018,Mahindra Electric,Zs Ev,BEV,Not Eligible,504,1926553,8,Midrange,Long,4 Wheeler
100206,2018,Ather Energy,Kona Ev,PHEV,Eligible,256,3830184,8,Premium,Medium,4 Wheeler
100207,2018,Ather Energy,Xuv400,BEV,Not Eligible,257,3941341,8,Premium,Medium,4 Wheeler
100208,2018,Hyundai Ev,450X,BEV,Eligible,168,1615080,8,Midrange,Short,2 Wheeler
100209,2018,Mahindra Electric,Nexon Ev,BEV,Not Eligible,202,3514235,8,Premium,Medium,4 Wheeler
100210,2018,Mg Motor India,S1 Pro,BEV,Eligible,119,1226916,8,Budget,Short,2 Wheeler
100211,2018,Byd India,Kona Ev,BEV,Eligible,468,4157945,8,Premium,Long,4 Wheeler
100212,2018,Tvs Motor,450X,PHEV,Eligible,160,1025991,8,Budget,Short,2 Wheeler
100213,2018,Mahindra Electric,Zs Ev,BEV,Eligible,119,2110209,8,Midrange,Short,4 Wheeler
100214,2018,Tata Motors,Kona Ev,BEV,Not Eligible,415,1968199,8,Midrange,Long,4 Wheeler
100215,2018,Tvs Motor,Nexon Ev,BEV,Eligible,124,1784056,8,Midrange,Short,4 Wheeler
100216,2018,Hyundai Ev,S1 Pro,BEV,Eligible,314,2522572,8,Midrange,Medium,2 Wheeler
100217,2018,Mg Motor India,Iqube,BEV,Eligible,237,3039686,8,Premium,Medium,2 Wheeler
100218,2018,Hyundai Ev,450X,BEV,Eligible,374,4121441,8,Premium,Medium,2 Wheeler
100219,2018,Tata Motors,Nexon Ev,BEV,Eligible,302,3987201,8,Premium,Medium,4 Wheeler
100220,2018,Tvs Motor,Kona Ev,BEV,Not Eligible,153,3477640,8,Premium,Short,4 Wheeler
100221,2018,Ola Electric,Atto 3,PHEV,Eligible,357,3928163,8,Premium,Medium,4 Wheeler
100222,2018,Ola Electric,Xuv400,BEV,Eligible,91,3323184,8,Premium,Short,4 Wheeler
100223,2018,Mg Motor India,Iqube,BEV,Not Eligible,385,4476511,8,Premium,Medium,2 Wheeler
100224,2018,Mahindra Electric,Xuv400,BEV,Not Eligible,86,1743804,8,Midrange,Short,4 Wheeler
100225,2018,Mahindra Electric,Zs Ev,BEV,Not Eligible,509,4189825,8,Premium,Long,4 Wheeler
100226,2018,Tata Motors,Atto 3,BEV,Eligible,364,2286652,8,Midrange,Medium,4 Wheeler
100227,2018,Byd India,Kona Ev,BEV,Eligible,106,3770096,8,Premium,Short,4 Wheeler
100228,2018,Ather Energy,450X,PHEV,Eligible,436,4467546,8,Premium,Long,2 Wheeler
100229,2018,Ather Energy,Xuv400,BEV,Eligible,137,3238683,8,Premium,Short,4 Wheeler
100230,2018,Mahindra Electric,Iqube,PHEV,Not Eligible,359,2455979,8,Midrange,Medium,2 Wheeler
100231,2018,Tvs Motor,S1 Pro,BEV,Eligible,224,2378236,8,Midrange,Medium,2 Wheeler
100232,2018,Mg Motor India,S1 Pro,BEV,Not Eligible,428,2555743,8,Midrange,Long,2 Wheeler
100233,2018,Mahindra Electric,S1 Pro,BEV,Eligible,232,1996413,8,Midrange,Medium,2 Wheeler
100234,2018,Ola Electric,S1 Pro,BEV,Eligible,245,2547608,8,Midrange,Medium,2 Wheeler
100235,2018,Ather Energy,450X,BEV,Eligible,151,4300074,8,Premium,Short,2 Wheeler
100236,2018,Mg Motor India,Kona Ev,BEV,Eligible,445,1288590,8,Budget,Long,4 Wheeler
100237,2018,Ather Energy,Nexon Ev,PHEV,Eligible,181,3443016,8,Premium,Short,4 Wheeler
100238,2018,Tvs Motor,Nexon Ev,BEV,Eligible,456,3442637,8,Premium,Long,4 Wheeler
100239,2018,Hyundai Ev,S1 Pro,BEV,Not Eligible,281,2678599,8,Midrange,Medium,2 Wheeler
100240,2018,Mg Motor India,Nexon Ev,BEV,Eligible,493,2168300,8,Midrange,Long,4 Wheeler
100241,2018,Hyundai Ev,Atto 3,BEV,Eligible,201,4258705,8,Premium,Medium,4 Wheeler
100242,2018,Tata Motors,Iqube,BEV,Not Eligible,202,2343717,8,Midrange,Medium,2 Wheeler
100243,2018,Mg Motor India,S1 Pro,PHEV,Eligible,257,2208507,8,Midrange,Medium,2 Wheeler
100244,2018,Ola Electric,Iqube,BEV,Eligible,393,3603381,8,Premium,Medium,2 Wheeler
100245,2018,Ola Electric,Zs Ev,BEV,Eligible,91,1041398,8,Budget,Short,4 Wheeler
100246,2018,Mahindra Electric,Zs Ev,BEV,Eligible,317,1494604,8,Budget,Medium,4 Wheeler
100247,2018,Ola Electric,Zs Ev,BEV,Eligible,290,2117060,8,Midrange,Medium,4 Wheeler
100248,2018,Mg Motor India,Xuv400,BEV,Eligible,172,2751317,8,Midrange,Short,4 Wheeler
100249,2018,Tata Motors,Kona Ev,PHEV,Eligible,103,3857715,8,Premium,Short,4 Wheeler
100250,2018,Hyundai Ev,S1 Pro,BEV,Eligible,129,4424272,8,Premium,Short,2 Wheeler
100251,2018,Mg Motor India,450X,BEV,Not Eligible,307,2516449,8,Midrange,Medium,2 Wheeler
100252,2018,Byd India,Zs Ev,PHEV,Eligible,265,1990805,8,Midrange,Medium,4 Wheeler
100253,2018,Mg Motor India,Iqube,BEV,Eligible,304,3942146,8,Premium,Medium,2 Wheeler
100254,2018,Byd India,Zs Ev,BEV,Not Eligible,413,2243862,8,Midrange,Long,4 Wheeler
100255,2018,Tata Motors,Kona Ev,BEV,Eligible,460,1522605,8,Midrange,Long,4 Wheeler
100256,2018,Mg Motor India,Atto 3,BEV,Eligible,458,3582712,8,Premium,Long,4 Wheeler
100257,2018,Ather Energy,450X,BEV,Eligible,503,1248619,8,Budget,Long,2 Wheeler
100258,2018,Mg Motor India,Xuv400,BEV,Eligible,159,1942377,8,Midrange,Short,4 Wheeler
100259,2018,Tata Motors,Nexon Ev,BEV,Eligible,343,2365291,8,Midrange,Medium,4 Wheeler
100260,2018,Ola Electric,Nexon Ev,BEV,Eligible,254,3986308,8,Premium,Medium,4 Wheeler
